100421695700012077171460      DISK MED PADUA DISTRIBUIDORA DE MEDSanto Antonio de Padua        RJ22385490042011100120111031331
11RODOVIA PIRAPETINGA A PADUA       SN   KM 01                 SANTA LUZIA    28470000ADILSON                     002238549004
5029696069000183ISENTO        20111031RJ011  0570945102P000000000245000000000024500000000000466000000000000000000000000001900N
503223686100016080870663      20111010RJ011  0729085403P000000004502600000000450260000000000000000000000000000000000000000000N
504030143400014684409103      20111001RJ011  2112745403P000000001792800000000179280000000000000000000000000000000000000000000N
504030143400014684409103      20111001RJ011  2112745102P000000000318000000000031800000000000604000000000000000000000000001900N
50109996430001440013102680070 20111001MG011  2112756403P000000036870000000003687000000000044244000000000000000000000000001200N
5027153741000169ISENTO        20111001ES011  2112766108P000000006112900000000611290000000004279000000000000000000000000000700N
5011430357000126ISENTO        20111001RJ011  2112775403P000000004196300000000419630000000000000000000000000000000000000000000N
5011430357000126ISENTO        20111001RJ011  2112775102P000000003338200000000333820000000006343000000000000000000000000001900N
5011430357000126ISENTO        20111001RJ011  2112775102P000000000183900000000018390000000000478000000000000000000000000002600N
507367962300010685172107      20111001RJ011  2112785403P000000045315600000004531560000000000000000000000000000000000000000000N
5018338178000102ISENTO        20111001MG011  2112796108P000000005824000000000582400000000006989000000000000000000000000001200N
5018338178000102ISENTO        20111001MG011  2112806108P000000007996800000000799680000000009596000000000000000000000000001200N
5018338178000102ISENTO        20111001MG011  2112816108P000000012119300000001211930000000014543000000000000000000000000001200N
5018338178000102ISENTO        20111001MG011  2112826108P000000018608300000001860830000000022330000000000000000000000000001200N
5018338178000102ISENTO        20111001MG011  2112836108P000000003901000000000390100000000004681000000000000000000000000001200N
5018338178000102ISENTO        20111001MG011  2112846108P000000015772600000001577260000000018927000000000000000000000000001200N
5018338178000102ISENTO        20111001MG011  2112856108P000000003543500000000354350000000004252000000000000000000000000001200N
5018338178000102ISENTO        20111001MG011  2112866108P000000001112900000000111290000000001335000000000000000000000000001200N
5018338178000102ISENTO        20111001MG011  2112876108P000000054564300000005456430000000065477000000000000000000000000001200N
5018338178000102ISENTO        20111001MG011  2112886108P000000019278200000001927820000000023134000000000000000000000000001200N
5018338178000102ISENTO        20111001MG011  2112896108P000000022599600000002259960000000027120000000000000000000000000001200N
5018338178000102ISENTO        20111001MG011  2112906108P000000008110000000000811000000000009732000000000000000000000000001200N
5018338178000102ISENTO        20111001MG011  2112916108P000000002920200000000292020000000003504000000000000000000000000001200N
5018338178000102ISENTO        20111001MG011  2112926108P000000008252300000000825230000000009903000000000000000000000000001200N
5018338178000102ISENTO        20111001MG011  2112936108P000000006186400000000618640000000007424000000000000000000000000001200N
5018338178000102ISENTO        20111001MG011  2112946108P000000010537000000001053700000000012644000000000000000000000000001200N
5018338178000102ISENTO        20111001MG011  2112956108P000000014678100000001467810000000017614000000000000000000000000001200N
5018338178000102ISENTO        20111001MG011  2112966108P000000038860300000003886030000000046632000000000000000000000000001200N
502923684100018480866348      20111001RJ011  2112975403P000000003168900000000316890000000000000000000000000000000000000000000N
502923684100018480866348      20111001RJ011  2112975102P000000001900200000000190020000000003610000000000000000000000000001900N
5024258337000161ISENTO        20111001MG011  2112986108P000000004029000000000402900000000004835000000000000000000000000001200N
5004549227000141ISENTO        20111001RJ011  2112995403P000000042554900000004255490000000000000000000000000000000000000000000N
5004549227000141ISENTO        20111001RJ011  2112995102P000000000772500000000077250000000001468000000000000000000000000001900N
5018338178000102ISENTO        20111001MG011  2113026108P000000008383700000000838370000000010060000000000000000000000000001200N
5018338178000102ISENTO        20111001MG011  2113036108P000000006920300000000692030000000008304000000000000000000000000001200N
5018338178000102ISENTO        20111001MG011  2113046108P000000004256400000000425640000000005108000000000000000000000000001200N
5018338178000102ISENTO        20111001MG011  2113056108P000000006443200000000644320000000007732000000000000000000000000001200N
5018338178000102ISENTO        20111001MG011  2113066108P000000000302400000000030240000000000363000000000000000000000000001200N
50048505560001285112320660032 20111001MG011  2113076403P000000001587800000000158780000000002006000000000000000000000000001200N
5012047232000184ISENTO        20111003RJ011  2113085403P000000010313000000001031300000000000000000000000000000000000000000000N
5011934211000118ISENTO        20111003RJ011  2113095403P000000003386000000000338600000000000000000000000000000000000000000000N
5012292556000188ISENTO        20111003RJ011  2113105102P000000077059200000007705920000000146412000000000000000000000000001900N
5012292556000188ISENTO        20111003RJ011  2113115403P000000410299100000041029910000000000000000000000000000000000000000000N
5011892333000199ISENTO        20111003RJ011  2113135403P000000009600000000000960000000000000000000000000000000000000000000000N
5011892333000199ISENTO        20111003RJ011  2113135102P000000010800000000001080000000000020520000000000000000000000000001900N
5017710690000175ISENTO        20111003MG011  2113146108P000000010828800000001082880000000012995000000000000000000000000001200N
5012995547000153ISENTO        20111003RJ011  2113155403P000000031500000000003150000000000000000000000000000000000000000000000N
50218785900001207134933760062 20111003MG011  2113166403P000000004832600000000483260000000005799000000000000000000000000001200N
50251710670001104675836100070 20111003MG011  2113176108P000000000114800000000011480000000000145000000000000000000000000001200N
50251710670001104675836100070 20111003MG011  2113176403P000000001920500000000192050000000002426000000000000000000000000001200N
